order_details_id,order_id,order_time,item_id,order_date
1,1,11:38:36 AM,109,01-01-2023
2,2,11:57:40 AM,108,01-01-2023
3,2,11:57:40 AM,124,01-01-2023
4,2,11:57:40 AM,117,01-01-2023
5,2,11:57:40 AM,129,01-01-2023
6,2,11:57:40 AM,106,01-01-2023
7,3,12:12:28 PM,117,01-01-2023
8,3,12:12:28 PM,119,01-01-2023
9,4,12:16:31 PM,117,01-01-2023
10,5,12:21:30 PM,117,01-01-2023
11,6,12:29:36 PM,101,01-01-2023
12,6,12:29:36 PM,114,01-01-2023
13,7,12:50:37 PM,123,01-01-2023
14,8,12:51:37 PM,123,01-01-2023
15,9,12:52:01 PM,108,01-01-2023
16,9,12:52:01 PM,126,01-01-2023
17,9,12:52:01 PM,110,01-01-2023
18,9,12:52:01 PM,117,01-01-2023
19,9,12:52:01 PM,117,01-01-2023
20,9,12:52:01 PM,129,01-01-2023
21,9,12:52:01 PM,122,01-01-2023
22,9,12:52:01 PM,130,01-01-2023
23,9,12:52:01 PM,132,01-01-2023
24,10,1:00:15 PM,129,01-01-2023
25,10,1:00:15 PM,105,01-01-2023
26,11,1:02:59 PM,101,01-01-2023
27,11,1:02:59 PM,102,01-01-2023
28,11,1:02:59 PM,102,01-01-2023
29,11,1:02:59 PM,113,01-01-2023
30,12,1:04:41 PM,102,01-01-2023
31,12,1:04:41 PM,102,01-01-2023
32,12,1:04:41 PM,104,01-01-2023
33,12,1:04:41 PM,117,01-01-2023
34,13,1:11:55 PM,129,01-01-2023
35,14,1:14:19 PM,114,01-01-2023
36,15,1:33:00 PM,107,01-01-2023
37,15,1:33:00 PM,124,01-01-2023
38,15,1:33:00 PM,121,01-01-2023
39,15,1:33:00 PM,114,01-01-2023
40,16,1:34:07 PM,125,01-01-2023
41,16,1:34:07 PM,111,01-01-2023
42,16,1:34:07 PM,106,01-01-2023
43,17,1:53:00 PM,101,01-01-2023
44,17,1:53:00 PM,116,01-01-2023
45,17,1:53:00 PM,124,01-01-2023
46,17,1:53:00 PM,125,01-01-2023
47,17,1:53:00 PM,117,01-01-2023
48,17,1:53:00 PM,127,01-01-2023
49,17,1:53:00 PM,128,01-01-2023
50,17,1:53:00 PM,129,01-01-2023
51,17,1:53:00 PM,118,01-01-2023
52,17,1:53:00 PM,131,01-01-2023
53,18,1:57:08 PM,111,01-01-2023
54,19,1:59:09 PM,110,01-01-2023
55,19,1:59:09 PM,120,01-01-2023
56,20,2:03:08 PM,107,01-01-2023
57,20,2:03:08 PM,124,01-01-2023
58,21,2:14:29 PM,110,01-01-2023
59,22,2:16:26 PM,124,01-01-2023
60,22,2:16:26 PM,110,01-01-2023
61,22,2:16:26 PM,105,01-01-2023
62,23,2:19:03 PM,105,01-01-2023
63,24,2:23:01 PM,101,01-01-2023
64,24,2:23:01 PM,110,01-01-2023
65,24,2:23:01 PM,113,01-01-2023
66,24,2:23:01 PM,119,01-01-2023
67,25,2:44:44 PM,120,01-01-2023
68,25,2:44:44 PM,106,01-01-2023
69,26,2:54:26 PM,108,01-01-2023
70,26,2:54:26 PM,132,01-01-2023
71,27,3:11:17 PM,101,01-01-2023
72,27,3:11:17 PM,108,01-01-2023
73,27,3:11:17 PM,131,01-01-2023
74,28,3:35:46 PM,103,01-01-2023
75,29,3:41:01 PM,126,01-01-2023
76,30,3:41:25 PM,106,01-01-2023
77,31,3:50:18 PM,129,01-01-2023
78,31,3:50:18 PM,113,01-01-2023
79,32,3:53:18 PM,107,01-01-2023
80,32,3:53:18 PM,126,01-01-2023
81,32,3:53:18 PM,110,01-01-2023
82,32,3:53:18 PM,117,01-01-2023
83,33,3:54:08 PM,101,01-01-2023
84,33,3:54:08 PM,126,01-01-2023
85,34,4:21:21 PM,114,01-01-2023
86,35,4:32:04 PM,126,01-01-2023
87,35,4:32:04 PM,112,01-01-2023
88,35,4:32:04 PM,113,01-01-2023
89,35,4:32:04 PM,106,01-01-2023
90,36,4:54:09 PM,101,01-01-2023
91,36,4:54:09 PM,108,01-01-2023
92,37,4:56:09 PM,117,01-01-2023
93,37,4:56:09 PM,129,01-01-2023
94,38,5:03:00 PM,109,01-01-2023
95,38,5:03:00 PM,110,01-01-2023
96,39,5:07:23 PM,117,01-01-2023
97,40,5:14:36 PM,125,01-01-2023
98,40,5:14:36 PM,105,01-01-2023
99,41,5:15:20 PM,125,01-01-2023
100,41,5:15:20 PM,126,01-01-2023
101,42,5:28:09 PM,107,01-01-2023
102,42,5:28:09 PM,124,01-01-2023
103,42,5:28:09 PM,129,01-01-2023
104,42,5:28:09 PM,118,01-01-2023
105,43,5:38:34 PM,103,01-01-2023
106,43,5:38:34 PM,117,01-01-2023
107,43,5:38:34 PM,118,01-01-2023
108,44,5:54:20 PM,130,01-01-2023
109,45,5:55:48 PM,125,01-01-2023
110,45,5:55:48 PM,109,01-01-2023
111,45,5:55:48 PM,106,01-01-2023
112,46,6:25:51 PM,104,01-01-2023
113,46,6:25:51 PM,108,01-01-2023
114,46,6:25:51 PM,106,01-01-2023
115,47,6:26:34 PM,105,01-01-2023
116,47,6:26:34 PM,132,01-01-2023
117,48,6:26:42 PM,104,01-01-2023
118,48,6:26:42 PM,126,01-01-2023
119,48,6:26:42 PM,119,01-01-2023
120,48,6:26:42 PM,122,01-01-2023
121,49,6:33:00 PM,120,01-01-2023
122,50,6:41:01 PM,NULL,01-01-2023
123,51,6:48:28 PM,101,01-01-2023
124,51,6:48:28 PM,112,01-01-2023
125,52,6:53:02 PM,109,01-01-2023
126,52,6:53:02 PM,129,01-01-2023
127,52,6:53:02 PM,122,01-01-2023
128,53,6:54:17 PM,112,01-01-2023
129,53,6:54:17 PM,123,01-01-2023
130,54,7:01:45 PM,119,01-01-2023
131,54,7:01:45 PM,106,01-01-2023
132,55,7:03:19 PM,118,01-01-2023
133,55,7:03:19 PM,122,01-01-2023
134,56,7:07:00 PM,108,01-01-2023
135,56,7:07:00 PM,128,01-01-2023
136,56,7:07:00 PM,105,01-01-2023
137,57,7:10:51 PM,108,01-01-2023
138,58,7:30:40 PM,124,01-01-2023
139,58,7:30:40 PM,113,01-01-2023
140,59,7:40:08 PM,127,01-01-2023
141,59,7:40:08 PM,112,01-01-2023
142,59,7:40:08 PM,113,01-01-2023
143,60,8:05:16 PM,104,01-01-2023
